playlist,track_name,artist,album,release_date,popularity,track_id
Bollywood Top 50,Channa Mereya,"Pritam, Arijit Singh",Ae Dil Hai Mushkil (Original Motion Picture Soundtrack) [Deluxe Edition],2016-10-26,72,0H2iJVgorRR0ZFgRqGUjUM
Bollywood Top 50,Yaariyan (reprise),"Sunidhi Chauhan, Arijit Singh, Pritam",Cocktail,2012-06-12,0,2pvaCuTrMVS6byOHCIQyHj
Bollywood Top 50,Raanjhanaa,"Imdad Hussain, Deep Joshi",Raanjhanaa,2022-03-17,0,5HzwD0LofOaL5kDiVReCpd
Bollywood Top 50,Mausam,"Mithoon, Sayeed Quadri",The Train,2007-04-18,55,1SDzEed9leGGDVJIv2GPUE
Bollywood Top 50,,,,0000,0,12Ud5p81gFX8feLUGpewfV
Bollywood Top 50,Phir Se Ud Chala,Mohit Chauhan,Rockstar,2011-10-01,63,1kcV2LJxt5v0s2cEGtEJ5i
Bollywood Top 50,Tum Jo Aaye,"Pritam, Rahat Fateh Ali Khan, Tulsi Kumar, Irshad Kamil",Once Upon A Time In Mumbaai,2010-06-29,72,2iZeKe5avjtKVmjfSFkpxd
Bollywood Top 50,Jee Le Zaraa,Vishal Dadlani,Talaash,2012-10-18,66,2r32XiAWtZbT3eLUvf4pag
Bollywood Top 50,"Kaise Hua (From ""Kabir Singh"")","Vishal Mishra, Manoj Muntashir","Kaise Hua (From ""Kabir Singh"")",2019-06-13,71,1y1rQTkWmrZdJmjwuK07GC
Bollywood Top 50,Zindagi Kuch Toh Bata (Reprise),"Pritam, Jubin Nautiyal, Neelesh Misra",Bajrangi Bhaijaan,2015-07-07,62,6TGX01ExmdHyOG72fqUU3Q
Bollywood Top 50,,,,0000,0,2XfmRXh6SsEk22Hz8zahl3
Bollywood Top 50,Kasoor - Acoustic,Prateek Kuhad,Shehron Ke Raaz,2021-07-09,42,117gRrOjnRkMCgWxNtDNSv
Bollywood Top 50,,,,0000,0,6nZiYSBwPQ7fYnVWkkkj4g
Bollywood Top 50,Breathless - Shankar Mahadevan,Shankar Mahadevan,Breathless,1998-12-31,51,3LWvtwgEIzC1wdHiUBoG1v
Bollywood Top 50,Pehli Dafa,"Atif Aslam, Shiraz Uppal",Pehli Dafa,2017-01-06,75,4Tkb7zsDmsawB7S5TpKQV1
Bollywood Top 50,Shukriya,"Jeet Gannguli, Jubin Nautiyal",Sadak 2 (Original Motion Picture Soundtrack),2020-08-22,40,7cYL9q8amtDuXC0fCPxr4G
Bollywood Top 50,Beete Lamhein,"KK, Mithoon, Sayeed Quadri",The Train,2007-04-18,65,0zQa7QXLpUZfrrsWbgDZll
Bollywood Top 50,Zehnaseeb,"Vishal-Shekhar, Chinmayi, Shekhar Ravjiani",Hasee Toh Phasee (Original Motion Picture Soundtrack),2014-01-05,73,3xF15SqY32Mno3UUMBirhU
Bollywood Top 50,Ishq Bulaava,"Vishal-Shekhar, Sanam Puri, Shipra Goyal",Hasee Toh Phasee (Original Motion Picture Soundtrack),2014-01-05,75,1fkjRQA8wXPPyxqYLbxuqy
Bollywood Top 50,Such Keh Raha Hai,KK,Rehnaa Hai Terre Dil Mein,2001-10-19,63,0ypgFw67lNEpoKFUxUV0tG
Bollywood Top 50,Sach Keh Raha Hai - LoFi Flip,KK,Lofi Chill Mix,2021-12-27,0,4oMwqrLvDx5njE15LNmvJc
Bollywood Top 50,O Mere Dil Ke Chain - LoFi,Sanam,Lofi Chill Mix,2021-12-27,0,0g3fw81SSyD8eSjWGUwQH6
